	Time [s]	Theta 1 (Bottom Pendulum) (Relative Rotation X) [°]	
261	9.7845e-002	-0.36056	
262	9.8183e-002	-0.36011	
263	9.8526e-002	-0.36013	
264	9.8872e-002	-0.36065	
265	9.922e-002	-0.36171	
266	9.957e-002	-0.36333	
267	9.9921e-002	-0.36555	
268	0.10027	-0.36836	
269	0.10063	-0.37179	
270	0.10098	-0.37582	
271	0.10134	-0.38046	
272	0.1017	-0.38569	
273	0.10206	-0.3915	
274	0.10242	-0.39786	
275	0.10279	-0.40475	
276	0.10316	-0.41213	
277	0.10353	-0.41996	
278	0.10391	-0.42819	
279	0.10429	-0.43676	
280	0.10469	-0.4456	
281	0.10509	-0.45464	
282	0.1055	-0.4638	
283	0.10592	-0.47299	
284	0.10635	-0.48211	
285	0.1068	-0.49106	
286	0.10727	-0.49973	
287	0.10777	-0.508	
288	0.10829	-0.51579	
289	0.10887	-0.52301	
290	0.10952	-0.5297	
291	0.11031	-0.53592	
292	0.11112	-0.54089	
293	0.11153	-0.54307	
294	0.11196	-0.54533	
295	0.1124	-0.54775	
296	0.11285	-0.55042	
297	0.11308	-0.55188	
298	0.11334	-0.55373	
299	0.11364	-0.55601	
300	0.11397	-0.55872	
301	0.11431	-0.56188	
302	0.11466	-0.56547	
303	0.11503	-0.56948	
304	0.11539	-0.57385	
305	0.11576	-0.57853	
306	0.11614	-0.58345	
307	0.11651	-0.58853	
308	0.11669	-0.5911	
309	0.11692	-0.59424	
310	0.11717	-0.59783	
311	0.11746	-0.60176	
312	0.11777	-0.60591	
313	0.11809	-0.61016	
314	0.11843	-0.61438	
315	0.11879	-0.61848	
316	0.11916	-0.62235	
317	0.11954	-0.6259	
318	0.11995	-0.62905	
319	0.12037	-0.63171	
320	0.12083	-0.63381	
321	0.12133	-0.63525	
322	0.122	-0.63582	
323	0.12233	-0.63561	
324	0.12271	-0.63506	
325	0.1231	-0.63417	
326	0.12351	-0.63302	
327	0.12392	-0.63172	
328	0.12413	-0.63105	
329	0.12437	-0.63025	
330	0.12465	-0.62938	
331	0.12495	-0.62851	
332	0.12527	-0.6277	
333	0.1256	-0.62704	
334	0.12594	-0.62658	
335	0.12628	-0.62641	
336	0.12663	-0.62656	
337	0.12698	-0.62709	
338	0.12734	-0.62804	
339	0.12769	-0.62944	
340	0.12804	-0.6313	
341	0.1284	-0.63365	
342	0.12875	-0.6365	
343	0.12911	-0.63985	
344	0.12946	-0.64371	
345	0.12982	-0.64806	
346	0.13018	-0.6529	
347	0.13054	-0.65822	
348	0.1309	-0.66398	
349	0.13127	-0.67016	
350	0.13164	-0.67672	
351	0.13201	-0.68363	
352	0.13239	-0.69083	
353	0.13278	-0.69827	
354	0.13317	-0.70588	
355	0.13357	-0.71358	
356	0.13397	-0.72129	
357	0.13439	-0.72893	
358	0.13482	-0.73639	
359	0.13527	-0.74357	
360	0.13574	-0.75036	
361	0.13623	-0.75665	
362	0.13675	-0.76231	
363	0.13732	-0.76727	
364	0.13795	-0.77147	
365	0.13872	-0.77494	
366	0.13953	-0.77737	
367	0.13994	-0.7784	
368	0.14037	-0.77953	
369	0.14082	-0.7809	
370	0.14128	-0.78266	
371	0.1415	-0.78373	
372	0.14177	-0.78517	
373	0.14207	-0.78707	
374	0.1424	-0.78946	
375	0.14275	-0.7924	
376	0.14311	-0.79591	
